time,open,high,low,close,Volume,Volume MA
2022-07-23T08:00:00+08:00,7.3,7.49,7.08,7.33,NaN,NaN
2022-07-24T08:00:00+08:00,7.32,7.58,7.31,7.4,NaN,NaN
2022-07-25T08:00:00+08:00,7.4,7.44,6.74,6.76,NaN,NaN
2022-07-26T08:00:00+08:00,6.76,6.79,6.52,6.78,NaN,NaN
2022-07-27T08:00:00+08:00,6.78,7.71,6.65,7.68,NaN,NaN
2022-07-28T08:00:00+08:00,7.69,8.07,7.46,7.86,NaN,NaN
2022-07-29T08:00:00+08:00,7.86,8.43,7.76,8.19,NaN,NaN
2022-07-30T08:00:00+08:00,8.18,8.85,8.15,8.21,NaN,NaN
2022-07-31T08:00:00+08:00,8.22,9.21,8.08,8.62,NaN,NaN
2022-08-01T08:00:00+08:00,8.63,8.99,8.03,8.17,NaN,NaN
2022-08-02T08:00:00+08:00,8.18,8.28,7.68,7.93,NaN,NaN
2022-08-03T08:00:00+08:00,7.93,8.45,7.68,8,NaN,NaN
2022-08-04T08:00:00+08:00,8,8.28,7.88,8.1,NaN,NaN
2022-08-05T08:00:00+08:00,8.1,8.84,8.07,8.8,NaN,NaN
2022-08-06T08:00:00+08:00,8.81,8.88,8.48,8.52,NaN,NaN
2022-08-07T08:00:00+08:00,8.52,8.93,8.34,8.65,NaN,NaN
2022-08-08T08:00:00+08:00,8.65,9.39,8.63,9.27,NaN,NaN
2022-08-09T08:00:00+08:00,9.27,9.47,8.64,8.89,NaN,NaN
2022-08-10T08:00:00+08:00,8.89,9.65,8.54,9.52,NaN,NaN
2022-08-11T08:00:00+08:00,9.53,9.65,9.13,9.2,NaN,NaN
2022-08-12T08:00:00+08:00,9.19,9.5,9.03,9.48,NaN,NaN
2022-08-13T08:00:00+08:00,9.48,9.68,9.25,9.31,NaN,NaN
2022-08-14T08:00:00+08:00,9.31,9.56,8.83,8.96,NaN,NaN
2022-08-15T08:00:00+08:00,8.95,9.39,8.62,8.78,NaN,NaN
2022-08-16T08:00:00+08:00,8.78,8.95,8.63,8.84,NaN,NaN
2022-08-17T08:00:00+08:00,8.84,9.17,8.32,8.37,NaN,NaN
2022-08-18T08:00:00+08:00,8.37,8.6,8,8.08,NaN,NaN
2022-08-19T08:00:00+08:00,8.08,8.1,7.22,7.31,NaN,NaN
2022-08-20T08:00:00+08:00,7.3,7.52,7.03,7.22,NaN,NaN
2022-08-21T08:00:00+08:00,7.23,7.53,7.16,7.44,NaN,NaN
2022-08-22T08:00:00+08:00,7.43,7.45,7,7.41,NaN,NaN
2022-08-23T08:00:00+08:00,7.4,7.72,7.18,7.64,NaN,NaN
2022-08-24T08:00:00+08:00,7.64,7.78,7.41,7.56,NaN,NaN
2022-08-25T08:00:00+08:00,7.56,7.76,7.46,7.58,NaN,NaN
2022-08-26T08:00:00+08:00,7.58,7.68,6.86,6.93,NaN,NaN
2022-08-27T08:00:00+08:00,6.93,7.12,6.8,7.04,NaN,NaN
2022-08-28T08:00:00+08:00,7.05,7.15,6.81,6.86,NaN,NaN
2022-08-29T08:00:00+08:00,6.86,7.31,6.79,7.27,NaN,NaN
2022-08-30T08:00:00+08:00,7.27,7.38,6.88,7,NaN,NaN
2022-08-31T08:00:00+08:00,7.01,7.29,6.98,7.03,NaN,NaN
2022-09-01T08:00:00+08:00,7.03,7.2,6.86,7.18,NaN,NaN
2022-09-02T08:00:00+08:00,7.19,7.57,7.12,7.3,NaN,NaN
2022-09-03T08:00:00+08:00,7.3,7.31,7.17,7.28,NaN,NaN
2022-09-04T08:00:00+08:00,7.29,7.42,7.15,7.37,NaN,NaN
2022-09-05T08:00:00+08:00,7.38,7.64,7.26,7.36,NaN,NaN
2022-09-06T08:00:00+08:00,7.37,7.7,6.81,6.87,NaN,NaN
2022-09-07T08:00:00+08:00,6.88,7.3,6.75,7.2,NaN,NaN
2022-09-08T08:00:00+08:00,7.2,7.45,7.03,7.39,NaN,NaN
2022-09-09T08:00:00+08:00,7.39,7.94,7.36,7.75,NaN,NaN
2022-09-10T08:00:00+08:00,7.76,7.88,7.57,7.77,NaN,NaN
2022-09-11T08:00:00+08:00,7.77,7.9,7.54,7.7,NaN,NaN
2022-09-12T08:00:00+08:00,7.71,8.05,7.56,7.66,NaN,NaN
2022-09-13T08:00:00+08:00,7.67,7.96,7.03,7.06,NaN,NaN
2022-09-14T08:00:00+08:00,7.06,7.31,7.01,7.21,NaN,NaN
2022-09-15T08:00:00+08:00,7.2,7.24,6.87,6.93,NaN,NaN
2022-09-16T08:00:00+08:00,6.94,6.98,6.7,6.9,NaN,NaN
2022-09-17T08:00:00+08:00,6.91,7.16,6.9,7.06,NaN,NaN
2022-09-18T08:00:00+08:00,7.05,7.06,6.32,6.44,NaN,NaN
2022-09-19T08:00:00+08:00,6.45,6.56,6.1,6.39,NaN,NaN
2022-09-20T08:00:00+08:00,6.39,6.42,6.17,6.28,NaN,NaN
2022-09-21T08:00:00+08:00,6.28,6.58,5.97,6.12,NaN,NaN
2022-09-22T08:00:00+08:00,6.12,6.53,6.08,6.45,NaN,NaN
2022-09-23T08:00:00+08:00,6.45,6.64,6.19,6.44,NaN,NaN
2022-09-24T08:00:00+08:00,6.44,6.51,6.23,6.27,NaN,NaN
2022-09-25T08:00:00+08:00,6.27,6.38,6.08,6.2,NaN,NaN
2022-09-26T08:00:00+08:00,6.2,6.58,6.15,6.56,NaN,NaN
2022-09-27T08:00:00+08:00,6.55,6.8,6.24,6.37,NaN,NaN
2022-09-28T08:00:00+08:00,6.37,6.47,6.17,6.38,NaN,NaN
2022-09-29T08:00:00+08:00,6.39,6.49,6.26,6.43,NaN,NaN
2022-09-30T08:00:00+08:00,6.44,6.58,6.21,6.32,NaN,NaN
2022-10-01T08:00:00+08:00,6.33,6.34,6.21,6.27,NaN,NaN
2022-10-02T08:00:00+08:00,6.26,6.33,6.13,6.15,NaN,NaN
2022-10-03T08:00:00+08:00,6.16,6.41,6.09,6.37,NaN,NaN
2022-10-04T08:00:00+08:00,6.37,6.54,6.34,6.5,NaN,NaN
2022-10-05T08:00:00+08:00,6.5,6.51,6.27,6.44,NaN,NaN
2022-10-06T08:00:00+08:00,6.44,6.52,6.31,6.34,NaN,NaN
2022-10-07T08:00:00+08:00,6.34,6.4,6.25,6.33,NaN,NaN
2022-10-08T08:00:00+08:00,6.33,6.4,6.26,6.31,NaN,NaN
2022-10-09T08:00:00+08:00,6.31,6.5,6.28,6.48,NaN,NaN
2022-10-10T08:00:00+08:00,6.48,6.54,6.24,6.25,NaN,NaN
2022-10-11T08:00:00+08:00,6.25,6.26,6.13,6.17,NaN,NaN
2022-10-12T08:00:00+08:00,6.18,6.25,6.13,6.18,NaN,NaN
2022-10-13T08:00:00+08:00,6.18,6.18,5.68,6.11,NaN,NaN
2022-10-14T08:00:00+08:00,6.11,6.27,6.01,6.05,NaN,NaN
2022-10-15T08:00:00+08:00,6.05,6.1,6.02,6.05,NaN,NaN
2022-10-16T08:00:00+08:00,6.05,6.25,6.04,6.18,NaN,NaN
2022-10-17T08:00:00+08:00,6.19,6.29,6.12,6.26,NaN,NaN
2022-10-18T08:00:00+08:00,6.26,6.3,6.07,6.16,NaN,NaN
2022-10-19T08:00:00+08:00,6.16,6.26,6.06,6.1,NaN,NaN
2022-10-20T08:00:00+08:00,6.11,6.16,5.82,5.89,NaN,NaN
2022-10-21T08:00:00+08:00,5.88,5.9,5.73,5.84,NaN,NaN
2022-10-22T08:00:00+08:00,5.83,5.87,5.77,5.85,NaN,NaN
2022-10-23T08:00:00+08:00,5.85,5.98,5.75,5.97,NaN,NaN
2022-10-24T08:00:00+08:00,5.96,5.99,5.8,5.92,NaN,NaN
2022-10-25T08:00:00+08:00,5.91,6.63,5.89,6.43,NaN,NaN
2022-10-26T08:00:00+08:00,6.44,6.61,6.41,6.47,NaN,NaN
2022-10-27T08:00:00+08:00,6.47,6.65,6.28,6.34,NaN,NaN
2022-10-28T08:00:00+08:00,6.33,6.59,6.26,6.52,NaN,NaN
2022-10-29T08:00:00+08:00,6.51,6.78,6.49,6.63,NaN,NaN
2022-10-30T08:00:00+08:00,6.63,6.75,6.51,6.66,NaN,NaN
2022-10-31T08:00:00+08:00,6.65,6.84,6.57,6.62,NaN,NaN
2022-11-01T08:00:00+08:00,6.62,6.72,6.45,6.46,NaN,NaN
2022-11-02T08:00:00+08:00,6.45,6.53,6.16,6.25,NaN,NaN
2022-11-03T08:00:00+08:00,6.26,6.53,6.23,6.41,NaN,NaN
2022-11-04T08:00:00+08:00,6.42,7.1,6.38,7.05,NaN,NaN
2022-11-05T08:00:00+08:00,7.06,7.25,6.94,7.03,NaN,NaN
2022-11-06T08:00:00+08:00,7.03,7.15,6.79,6.81,NaN,NaN
2022-11-07T08:00:00+08:00,6.81,7.42,6.65,7.12,NaN,NaN
2022-11-08T08:00:00+08:00,7.12,7.2,5.86,6.3,NaN,NaN
2022-11-09T08:00:00+08:00,6.3,6.38,5.34,5.41,NaN,NaN
2022-11-10T08:00:00+08:00,5.42,6.18,5.32,5.97,NaN,NaN
2022-11-11T08:00:00+08:00,5.97,6.05,5.5,5.75,NaN,NaN
2022-11-12T08:00:00+08:00,5.75,5.88,5.56,5.77,NaN,NaN
2022-11-13T08:00:00+08:00,5.78,5.97,5.62,5.75,NaN,NaN
2022-11-14T08:00:00+08:00,5.75,5.9,5.44,5.86,NaN,NaN
2022-11-15T08:00:00+08:00,5.87,6.05,5.8,5.92,NaN,NaN
2022-11-16T08:00:00+08:00,5.92,6,5.61,5.71,NaN,NaN
2022-11-17T08:00:00+08:00,5.7,5.73,5.56,5.67,NaN,NaN
2022-11-18T08:00:00+08:00,5.68,5.78,5.6,5.65,NaN,NaN
2022-11-19T08:00:00+08:00,5.65,5.66,5.53,5.61,NaN,NaN
2022-11-20T08:00:00+08:00,5.61,5.66,5.25,5.3,NaN,NaN
2022-11-21T08:00:00+08:00,5.3,5.3,5.07,5.18,NaN,NaN
2022-11-22T08:00:00+08:00,5.19,5.32,5,5.28,NaN,NaN
2022-11-23T08:00:00+08:00,5.28,5.49,5.25,5.44,NaN,NaN
2022-11-24T08:00:00+08:00,5.43,5.53,5.33,5.39,NaN,NaN
2022-11-25T08:00:00+08:00,5.38,5.39,5.25,5.26,NaN,NaN
2022-11-26T08:00:00+08:00,5.27,5.46,5.24,5.3,NaN,NaN
2022-11-27T08:00:00+08:00,5.3,5.44,5.26,5.3,NaN,NaN
2022-11-28T08:00:00+08:00,5.31,5.32,5.06,5.13,NaN,NaN
2022-11-29T08:00:00+08:00,5.13,5.35,5.09,5.3,NaN,NaN
2022-11-30T08:00:00+08:00,5.3,5.51,5.3,5.46,NaN,NaN
2022-12-01T08:00:00+08:00,5.46,5.48,5.32,5.41,NaN,NaN
2022-12-02T08:00:00+08:00,5.4,5.69,5.37,5.62,NaN,NaN
2022-12-03T08:00:00+08:00,5.62,5.71,5.48,5.49,NaN,NaN
2022-12-04T08:00:00+08:00,5.5,5.61,5.49,5.59,NaN,NaN
2022-12-05T08:00:00+08:00,5.6,5.73,5.44,5.48,NaN,NaN
2022-12-06T08:00:00+08:00,5.48,5.52,5.42,5.5,NaN,NaN
2022-12-07T08:00:00+08:00,5.49,5.53,5.24,5.29,NaN,NaN
2022-12-08T08:00:00+08:00,5.29,5.47,5.25,5.42,NaN,NaN
2022-12-09T08:00:00+08:00,5.42,5.44,5.26,5.3,NaN,NaN
2022-12-10T08:00:00+08:00,5.29,5.33,5.26,5.27,NaN,NaN
2022-12-11T08:00:00+08:00,5.28,5.33,5.13,5.17,NaN,NaN
2022-12-12T08:00:00+08:00,5.16,5.21,5,5.17,NaN,NaN
2022-12-13T08:00:00+08:00,5.17,5.35,4.99,5.28,NaN,NaN
2022-12-14T08:00:00+08:00,5.29,5.358,5.154,5.215,NaN,NaN
2022-12-15T08:00:00+08:00,5.214,5.254,5.116,5.23,NaN,NaN
2022-12-16T08:00:00+08:00,5.23,5.25,4.52,4.652,NaN,NaN
2022-12-17T08:00:00+08:00,4.653,4.724,4.583,4.708,NaN,NaN
2022-12-18T08:00:00+08:00,4.709,4.716,4.617,4.657,NaN,NaN
2022-12-19T08:00:00+08:00,4.657,4.705,4.41,4.481,NaN,NaN
2022-12-20T08:00:00+08:00,4.479,4.653,4.461,4.605,NaN,NaN
2022-12-21T08:00:00+08:00,4.606,4.616,4.442,4.485,NaN,NaN
2022-12-22T08:00:00+08:00,4.486,4.537,4.37,4.531,NaN,NaN
2022-12-23T08:00:00+08:00,4.532,4.546,4.454,4.473,NaN,NaN
2022-12-24T08:00:00+08:00,4.473,4.492,4.43,4.452,NaN,NaN
2022-12-25T08:00:00+08:00,4.451,4.498,4.396,4.492,NaN,NaN
2022-12-26T08:00:00+08:00,4.492,4.578,4.465,4.571,NaN,NaN
2022-12-27T08:00:00+08:00,4.571,4.585,4.455,4.478,NaN,NaN
2022-12-28T08:00:00+08:00,4.479,4.484,4.24,4.286,NaN,NaN
2022-12-29T08:00:00+08:00,4.286,4.355,4.224,4.309,NaN,NaN
2022-12-30T08:00:00+08:00,4.308,4.341,4.226,4.324,NaN,NaN
2022-12-31T08:00:00+08:00,4.324,4.394,4.298,4.309,NaN,NaN
2023-01-01T08:00:00+08:00,4.308,4.387,4.275,4.371,NaN,NaN
2023-01-02T08:00:00+08:00,4.371,4.56,4.316,4.492,NaN,NaN
2023-01-03T08:00:00+08:00,4.492,4.545,4.462,4.526,NaN,NaN
2023-01-04T08:00:00+08:00,4.526,4.689,4.526,4.632,NaN,NaN
2023-01-05T08:00:00+08:00,4.631,4.649,4.545,4.62,NaN,NaN
2023-01-06T08:00:00+08:00,4.621,4.706,4.552,4.684,NaN,NaN
2023-01-07T08:00:00+08:00,4.684,4.705,4.636,4.664,NaN,NaN
2023-01-08T08:00:00+08:00,4.665,4.828,4.602,4.826,NaN,NaN
2023-01-09T08:00:00+08:00,4.826,5.083,4.8,4.887,NaN,NaN
2023-01-10T08:00:00+08:00,4.886,4.97,4.823,4.92,NaN,NaN
2023-01-11T08:00:00+08:00,4.92,5.139,4.828,5.135,NaN,NaN
2023-01-12T08:00:00+08:00,5.134,5.263,5.015,5.232,NaN,NaN
2023-01-13T08:00:00+08:00,5.233,5.424,5.163,5.401,NaN,NaN
2023-01-14T08:00:00+08:00,5.401,6.523,5.396,6.026,NaN,NaN
2023-01-15T08:00:00+08:00,6.026,6.066,5.771,5.929,NaN,NaN
2023-01-16T08:00:00+08:00,5.928,6.087,5.61,5.812,NaN,NaN
2023-01-17T08:00:00+08:00,5.812,6.21,5.691,5.956,NaN,NaN
2023-01-18T08:00:00+08:00,5.957,6.221,5.564,5.653,NaN,NaN
2023-01-19T08:00:00+08:00,5.648,5.848,5.643,5.802,NaN,NaN
2023-01-20T08:00:00+08:00,5.802,6.295,5.752,6.247,NaN,NaN
2023-01-21T08:00:00+08:00,6.249,6.464,6.007,6.237,NaN,NaN
2023-01-22T08:00:00+08:00,6.237,6.457,6.085,6.207,NaN,NaN
2023-01-23T08:00:00+08:00,6.207,6.84,6.198,6.56,NaN,NaN
2023-01-24T08:00:00+08:00,6.56,6.708,6.117,6.191,NaN,NaN
2023-01-25T08:00:00+08:00,6.191,6.563,6.01,6.399,NaN,NaN
2023-01-26T08:00:00+08:00,6.4,6.563,6.301,6.472,NaN,NaN
